product_code,product_name,jan_code,category_large,category_medium,category_small,unit_price,cost_price,supplier_name,is_active,registered_date
P0001,国産牛切り落とし,4901234567001,食品,精肉,牛肉,780,520,山田畜産,true,2020-01-01
P0002,三元豚ロース,4901234567002,食品,精肉,豚肉,480,320,丸福ミート,true,2020-01-01
P0003,有機栽培トマト,4901234567003,食品,青果,野菜,298,180,グリーンファーム,true,2020-01-01
P0004,特選食パン6枚切,4901234567004,食品,パン・菓子,パン,248,150,東京ベーカリー,true,2020-03-01
P0005,天然水2L,4901234567005,飲料,水・ミネラルウォーター,天然水,98,45,南アルプス水源,true,2020-01-01
P0006,緑茶500ml,4901234567006,飲料,茶系飲料,緑茶,128,60,静岡茶園,true,2020-01-01
P0007,ドリップコーヒー10袋,4901234567007,飲料,コーヒー,ドリップ,498,280,珈琲工房,true,2020-06-01
P0008,オレンジジュース1L,4901234567008,飲料,果汁飲料,柑橘系,168,90,フルーツランド,true,2020-01-01
P0009,薬用ハンドソープ,4901234567009,日用品,ハンドケア,ハンドソープ,348,200,クリーンケミカル,true,2020-01-01
P0010,柔軟剤1000ml,4901234567010,日用品,洗濯用品,柔軟剤,498,280,花王クリーン,true,2020-04-01
P0011,トイレットペーパー12R,4901234567011,日用品,紙製品,トイレットペーパー,398,220,王子製紙,true,2020-01-01
P0012,ティッシュ5箱パック,4901234567012,日用品,紙製品,ティッシュ,298,160,王子製紙,true,2020-01-01
P0013,保湿化粧水200ml,4901234567013,化粧品,スキンケア,化粧水,1480,750,ビューティラボ,true,2020-02-01
P0014,美容液30ml,4901234567014,化粧品,スキンケア,美容液,2980,1500,ビューティラボ,true,2020-02-01
P0015,UVカットクリーム,4901234567015,化粧品,日焼け止め,日焼け止めクリーム,980,520,サンプロテクト,true,2021-03-01
