transaction_id,customer_id,product_code,transaction_date,transaction_time,quantity,unit_price,amount,discount_amount,store_code,channel,status,payment_method,point_used
TX20240101001,MB00010001,P0001,2024-01-05,10:23:00,1,780,780,0,ST001,店舗,completed,クレジットカード,0
TX20240101002,MB00010001,P0005,2024-01-05,10:23:00,2,98,196,0,ST001,店舗,completed,クレジットカード,0
TX20240101003,MB00010002,P0013,2024-01-08,14:05:00,1,1480,1480,0,ST002,店舗,completed,電子マネー,100
TX20240101004,MB00010003,P0006,2024-01-10,09:30:00,3,128,384,0,ST001,店舗,completed,現金,0
TX20240101005,MB00010004,P0003,2024-01-12,11:45:00,2,298,596,50,ST003,店舗,completed,クレジットカード,0
TX20240101006,MB00010009,P0007,2024-01-15,16:20:00,1,498,498,0,ST001,EC,completed,クレジットカード,0
TX20240101007,MB00010009,P0014,2024-01-15,16:20:00,1,2980,2980,0,ST001,EC,completed,クレジットカード,200
TX20240101008,MB00010005,P0011,2024-01-18,13:10:00,2,398,796,0,ST004,店舗,completed,現金,0
TX20240101009,MB00010018,P0004,2024-01-20,08:50:00,1,248,248,0,ST002,店舗,completed,電子マネー,0
TX20240101010,MB00010018,P0006,2024-01-20,08:50:00,2,128,256,0,ST002,店舗,completed,電子マネー,0
TX20240102001,MB00010002,P0014,2024-02-01,15:30:00,1,2980,2980,300,ST002,店舗,completed,クレジットカード,500
TX20240102002,MB00010009,P0001,2024-02-03,10:15:00,2,780,1560,0,ST001,店舗,completed,電子マネー,0
TX20240102003,MB00010012,P0010,2024-02-05,12:40:00,1,498,498,0,ST003,店舗,completed,現金,0
TX20240102004,MB00010014,P0013,2024-02-08,14:20:00,2,1480,2960,200,ST005,店舗,completed,クレジットカード,300
TX20240102005,MB00010003,P0002,2024-02-10,09:55:00,1,480,480,0,ST001,店舗,completed,現金,0
TX20240102006,MB00010016,P0005,2024-02-12,17:30:00,3,98,294,0,ST003,EC,completed,クレジットカード,0
TX20240102007,MB00010006,P0009,2024-02-15,11:00:00,1,348,348,0,ST002,店舗,completed,電子マネー,0
